IDS_CLIENT_TUTORIAL_TITLE_000001	移动方法
IDS_CLIENT_TUTORIAL_CONTENT_000011	#b#cff0000ff■ 角色选单#nb#nc\n对其它的玩家 #cffff0000Alt + 滑鼠左键#nc 以后，会出现能够对玩家做出互动的许多选项。交易，新增讯息，组队邀请，公会邀请，跟随，察看，加油等，需要的时候可以使用。 
IDS_CLIENT_TUTORIAL_TITLE_000012	交易
IDS_CLIENT_TUTORIAL_CONTENT_000012	#b#cff0000ff■ 1:1交易#nb#nc\n与对方交换道具或金币时，使用的交易方法。给对方#cffff0000Alt + 滑鼠左键#nc 后, 请点击交易选单。在自动询问对方是否要交易后，才能够进行交易。\n\n#b#cff0000ff■ 个人商店#nb#nc\n可以将你自己持有的道具贩卖给其它的玩家。按下Start键，在出现的开始选单中，如果点击个人商店选单，就会出现个人商店视窗。登录商店的名字和要贩卖的道具后，点击OK钮就完成了。但在NPC的周边无法开设商店。
IDS_CLIENT_TUTORIAL_TITLE_000013	保管方法
IDS_CLIENT_TUTORIAL_CONTENT_000013	#b#cff0000ff■ 银行#nb#nc\n去找在各城镇里的[城镇服务处]NPC就可以利用银行。只要点击他的选单就可以。
IDS_CLIENT_TUTORIAL_TITLE_000014	讯息
IDS_CLIENT_TUTORIAL_CONTENT_000014	#b#cff0000ff■ 通讯#nb#nc\n登录的玩家的连线状态或频道还有对话等，都能够很方便的进行。登录的方法点击在通讯视窗上的+钮后，在填入玩家的角色名称就可以了。\n快捷键为E
IDS_CLIENT_TUTORIAL_TITLE_000015	感情表现
IDS_CLIENT_TUTORIAL_CONTENT_000015	#b#cff0000ff■ 感情表现#nb#nc\n无法用对话表现自己的感情，以动作表现给其它的玩家。因为有许多的感情表现和情绪脸谱，所以可以对应状况使用。\n快捷键为O
IDS_CLIENT_TUTORIAL_TITLE_000016	应援
IDS_CLIENT_TUTORIAL_CONTENT_000016	#b#cff0000ff■ 鼓励#nb#nc\n每次持续游戏1个小时，角色可以得到鼓励点数。选择其它的角色，透过在动作视窗(快捷键为O)的鼓励图示或Alt +滑鼠左键所出现的鼓励选项，就能给予对方鼓励。得到应援的角色在10分内，经验值会加5%
