IDS_CLIENT_HELP_INC_000000	基本操作法
IDS_CLIENT_HELP_INC_000045	按键盘上的『Enter』键，即可输入文字，之后再按一次『Enter』键即可发送讯息。使用滑鼠点击输入文字的栏位，同样也可以输入文字来进行聊天。
IDS_CLIENT_HELP_INC_000046	与NPC交易
IDS_CLIENT_HELP_INC_000047	若要向NPC购买物品，可直接用滑鼠点NPC后，选择交易。若此时选择了交谈，NPC可是会对您长篇大论的聊起来喔。
IDS_CLIENT_HELP_INC_000048	若要购买物品，可直接从物品目录中选择自己想要购买的物品后，拖曳到自己的物品栏中，然后输入数量即可。
IDS_CLIENT_HELP_INC_000049	贩卖物品与上述相反，必须将想要贩卖的物品拖曳到NPC的物品栏中。此时下方会显示出贩卖所获得的金币。
IDS_CLIENT_HELP_INC_000050	交易
IDS_CLIENT_HELP_INC_000051	想要与玩家进行交易，必须先按住键盘上的『ALT』键，然后使用滑鼠左键点选准备进行交易的对象。此时会出现一列选项，选择『交易』，即可开启双方的交易视窗。
IDS_CLIENT_HELP_INC_000052	开启了交易视窗后，可从物品栏中拖曳想要交易的物品或金钱到交易视窗中。物品拖曳完毕后，双方都按下确认键，就表示交易已完成。
IDS_CLIENT_HELP_INC_000053	若其中一方没有按下确认键，交易就无法完成。此时如果按下取消，就会将交易取消，所拖曳进交易视窗中的物品，将会回到自己的物品栏中。
IDS_CLIENT_HELP_INC_000054	任务
IDS_CLIENT_HELP_INC_000055	您可透过解任务来获得一些经验值与物品。任务可与NPC对话后接受，每种任务都有其限定的等级与职业。
IDS_CLIENT_HELP_INC_000056	您可以时常与NPC交谈，看看是否有新的任务。
IDS_CLIENT_HELP_INC_000057	介面
IDS_CLIENT_HELP_INC_000058	现在为您说明Flyff中所使用的各种视窗与栏位。
IDS_CLIENT_HELP_INC_000059	状态视窗
IDS_CLIENT_HELP_INC_000060	状态视窗是游戏中最重要的情报显示。视窗上的各种数值中，HP(生命力)是维持角色生命的最重要的数值。如果数值变成0，就表示您已经死亡，无法继续进行游戏；此时，您可透过『生命光柱』复活还有使用复活卷轴复活或利用辅助系角色的复活技能而复活。如果提升能力值中的体力，就会增加HP的最大量。
IDS_CLIENT_HELP_INC_000061	MP(精神力)是魔法使施展魔法攻击或神职者施展辅助技能时，所需的数值。如果提升能力值中的智力，就会使MP最大量上升；FP(持久力)是勇者系列使用攻击技能时所需要的点数，如果提升能力值中的体力，就会使FP点数增加。
IDS_CLIENT_HELP_INC_000062	EXP(角色经验值)是角色等级上升时所需的经验值，经验值只有在打怪或完成任务时，才能够获得。
IDS_CLIENT_HELP_INC_000063	角色视窗
IDS_CLIENT_HELP_INC_000064	此视窗会显示关於角色的各种情报。『基本』页面中，可以看到角色的名字、职业、等级、伺服器名称、频道情报等基本的说明，在『详细的』页面中，当角色升级时，可以使用获得的GP数提提升能力值，可以确定角色的装备和等级。
IDS_CLIENT_HELP_INC_000065	攻击力是指角色在进行战斗时，所打击的力量。每次更换武器时，攻击力会随著改变。防御力是指受到攻击时，能够承受多少伤害的意思，致命打率是指可攻击多强的攻击。攻机速度是指角色的的攻击速度是多少。
IDS_CLIENT_HELP_INC_000066	GP数值会在等级上升时得到，您可以利用获得的GP的数值，提升您的能力值。
IDS_CLIENT_HELP_INC_000067	力量会影响基本攻击力和法杖以外的武器攻击力；体力会影响防御力、增加HP最大量、FP最大量及增加HP、FP恢复量；敏捷会增加攻击速度、回避率、命中率、爆击率，还会影响弓系列武器的攻击力；智力会影响最大MP量、MP恢复量、魔法攻击力及魔法防御力。
IDS_CLIENT_HELP_INC_000068	
IDS_CLIENT_HELP_INC_000069	聊天视窗
IDS_CLIENT_HELP_INC_000070	聊天视窗位於热键栏的上方。若想要聊天，可直接按一次『Enter』键，即可输入文字进行聊天。可以使用一般聊天、密语、大喊、剧团聊天、公会聊天等。点击SYSTEM项目后，就会开启SYSTEM视窗，可以确定各种系统里输出的讯息。
IDS_CLIENT_HELP_INC_000071	若想要将同样的对话内容制作成热键时，首先在输入完对话内容的状态下，将输入文字栏位前面的文字框框图示拖曳到热键栏中即可。
IDS_CLIENT_HELP_INC_000072	导航系统
IDS_CLIENT_HELP_INC_000073	透过导航系统(小地图)，您可以了解角色周围的地理状况与其他角色的位置。
IDS_CLIENT_HELP_INC_000074	点选导航系统右上端的箭头符号，即可选择导航系统上的显示对象。
IDS_CLIENT_HELP_INC_000075	左下方的『＋』、『－』键，可以放大或缩小地图，您可将地图缩至最小来探视远方的状况。
IDS_CLIENT_HELP_INC_000076	技能视窗
IDS_CLIENT_HELP_INC_000077	以角色的职业显示技能的视窗，随角色等级及技能等级的提升，可以得到新的技能。
IDS_CLIENT_HELP_INC_000078	您可将想要使用的技能拖曳至画面下方的技能热键栏中。若要使用技能热键栏中的技能，您可在进行攻击时，您也可以将技能热键前方的『S』图示拖曳至综合热键栏中使用。
IDS_CLIENT_HELP_INC_000079	若您想要提升技能等级，必需要有技能点数。技能点数在等级上升时会自动获得。点击您想要提升的技能后，使用『+』,『-』按钮，可调整技能等级。
IDS_CLIENT_HELP_INC_000080	物品栏
IDS_CLIENT_HELP_INC_000081	此视窗能够保管游戏内所使用的武器、防具、一般物品、任务道具、恢复类物品以及金币等；还可以安装或解除武器、防具、饰品、附费道具。
IDS_CLIENT_HELP_INC_000082	即时通
IDS_CLIENT_HELP_INC_000083	在同一组伺服群的玩家，可透过即时通来互相传讯聊天；若您想要将朋友加入即时通的名单内，只要在朋友附近，按住键盘上的『ALT』键，并且使用滑鼠左键点击朋友的角色，然后选择『追加到即时通』或点击在即时通视窗下方的『+』图示，就能够新增朋友。公会成员加入公会或公会家长增加公会成员后，即时通都会自动更新。
IDS_CLIENT_HELP_INC_000084	任务视窗
IDS_CLIENT_HELP_INC_000085	此视窗记录著您在游戏内所进行的各种任务的情报与进行的状况。大致区分成为任务目录、任务内容、奖励目录、任务条件等，能够较易了解任务的进行过程。
IDS_CLIENT_HELP_INC_000086	动作栏
IDS_CLIENT_HELP_INC_000087	按『O』键所开启的视窗中，有许多的动作和脸谱。用滑鼠左键点击想使用的动作或脸谱，另外也可以拖曳到热键中使用。
IDS_CLIENT_HELP_INC_000088	
IDS_CLIENT_HELP_INC_000089	
IDS_CLIENT_HELP_INC_000090	剧团视窗
IDS_CLIENT_HELP_INC_000091	此视窗是管理剧团的视窗。剧团和组队的概念很相似，可以区分为临时剧团和巡回剧团。临时剧团只能做团员管理，变更为巡回剧团后，可以使用许多的技能。临时剧团的等级到了10级以后，就能够变更为巡回剧团，并且能给巡回剧团取名字。
IDS_CLIENT_HELP_INC_000092	公会视窗
IDS_CLIENT_HELP_INC_000093	公会是比剧团更大型的团体，当等级到达40级之后，谁都可以创立。但是必需要到圣音特去找城镇服务员海莲娜，完成海莲娜所给予的任务。视窗中有查看公会情报的页面与管理成员的页面。公会情报页面中，可确认目前公会的公告事项。成员管理页面可管理成员的称号以及支付的薪水等等。
IDS_CLIENT_HELP_INC_000094	影像&音效
IDS_CLIENT_HELP_INC_000095	这是设定影像与音响的视窗。您可以从这里调整适合自己电脑的设定来进行游戏。
IDS_CLIENT_HELP_INC_000096	选项
IDS_CLIENT_HELP_INC_000097	您可以利用此视窗设定游戏内的各种细项。区分为影像、游戏种类。
IDS_CLIENT_HELP_INC_000098	游戏选项
IDS_CLIENT_HELP_INC_000099	可以设定其他玩家传来的邀请或讯息，是否要接收或显示。交易、密语、受信人增加、PVP申请、讯息接收通知、察看、自动攻击等都能够设定ON/OFF
IDS_CLIENT_HELP_INC_000100	公会公告
IDS_CLIENT_HELP_INC_000101	这是告知游戏改版或更新等相关内容的公告栏。如果上面有最新的内容，请您务必要看喔！
IDS_CLIENT_HELP_INC_000102	辅助说明
IDS_CLIENT_HELP_INC_000103	这是让您能够更了解游戏内基本事项的解说视窗。如果您有不了解的地方，可以先打开来参考。
IDS_CLIENT_HELP_INC_000104	今日要诀
IDS_CLIENT_HELP_INC_000105	这里面纪录著许多进行游戏时所需的要诀，建议您可以先看看。
IDS_CLIENT_HELP_INC_000106	FAQ
IDS_CLIENT_HELP_INC_000107	这里面纪录著玩家在游戏中常常碰到的问题与解答。若您想要发问时，请先看看这里是否已经有答案了。
IDS_CLIENT_HELP_INC_000108	结束游戏
IDS_CLIENT_HELP_INC_000109	结束游戏的功能
IDS_CLIENT_HELP_INC_000110	复活视窗
IDS_CLIENT_HELP_INC_000111	角色的生命力变成0时，就会自动开启此视窗。您可选择回到附近城镇的『生命光柱』或使用持有的付费道具复活卷轴，在原地复活。这里会出现能够使用付费商店的付费商店选项。
IDS_CLIENT_HELP_INC_000112	交易视窗
IDS_CLIENT_HELP_INC_000113	这是玩家之间进行物品或金钱交易时，所使用的视窗。必需要获到双方角色的同意，才能够完成交易。
IDS_CLIENT_HELP_INC_000114	保管视窗
IDS_CLIENT_HELP_INC_000115	将物品交给各城镇的城镇服务员NPC保管或领取保管的物品时，所使用的视窗。想存入金币时，请在物品栏内点击金币的图示后，拖曳到视窗里放入即可。
IDS_CLIENT_HELP_INC_000116	热键栏
IDS_CLIENT_HELP_INC_000117	在Flyff中所使用的各种功能、物品与技能，都可以放在热键栏中使用。热键栏位於画面的最下方。
IDS_CLIENT_HELP_INC_000118	开始目录
IDS_CLIENT_HELP_INC_000119	所有游戏内的必要情报与目录，全部都可在此目录中寻找。此目录位於热键栏前方，上面写著『开始』的按钮，打开后会看到一列的选项。
IDS_CLIENT_HELP_INC_000120	系统热键
IDS_CLIENT_HELP_INC_000121	位在左方热键栏的系统热键，可将开始目录里面的选项拖曳到此热键中使用。
IDS_CLIENT_HELP_INC_000122	综合热键
IDS_CLIENT_HELP_INC_000123	位於热键栏的中央，可放置游戏里物品与技能。
IDS_CLIENT_HELP_INC_000124	技能热键
IDS_CLIENT_HELP_INC_000125	位於右方热键栏，可放置需要组合使用或连续使用的技能。
IDS_CLIENT_HELP_INC_000126	技能热键的使用。
IDS_CLIENT_HELP_INC_000127	您必须先选定要攻击的目标，并且按下『C』键，即可施展出技能热键中的技能。
IDS_CLIENT_HELP_INC_000128	技能热键连续使用
IDS_CLIENT_HELP_INC_000129	技能热键虽然有五格的空间，但并不是一定要将技能放满。只要将您想要使用的组合技能，或是想要使用两次以上的技能放入，就可以进行有效率的技能攻击。
IDS_CLIENT_HELP_INC_000130	技能热键组合
IDS_CLIENT_HELP_INC_000131	在技能热键中，除了物品及剧团技能外，其他攻击技能都可放入。若要放入组合技能(拼图)，必须依照拼图的阶段依序放入。
IDS_CLIENT_HELP_INC_000132	技能热键组合范例
IDS_CLIENT_HELP_INC_000133	『 前段->中段->后段 』、『 前段->后段 』、『 前段->中段->中段->后段 』、『 单一技能->单一技能->单一技能 』
IDS_CLIENT_HELP_INC_000134	群组
IDS_CLIENT_HELP_INC_000135	接下来为您介绍Flyff中的剧团系统『临时剧团』与『巡回剧团』。
IDS_CLIENT_HELP_INC_000136	临时剧团
IDS_CLIENT_HELP_INC_000137	临时剧团的说明
IDS_CLIENT_HELP_INC_000138	成立临时剧团
IDS_CLIENT_HELP_INC_000139	剧团最少可由2名玩家组织。而随著剧团的成长，最多可有8位成员加入临时剧团 (随剧团等级增加成员)，临时剧团的成员没有职业与等级的限制。
IDS_CLIENT_HELP_INC_000140	招募临时剧团团员
IDS_CLIENT_HELP_INC_000141	按住『ALT』键后，使用滑鼠左键点选想要招募的对象，然后选择『加入剧团』，即可邀请对方加入剧团。刚开始创立剧团时，也是用这种方法来组织剧团。
IDS_CLIENT_HELP_INC_000142	加入临时剧团
IDS_CLIENT_HELP_INC_000143	按住『ALT』键后，使用滑鼠左键点选想要加入的剧团成员，然后选择『加入剧团』即可。此时该剧团的团长会收到是否接收此团员的讯息，若团长愿意接收，您就会自动被加入剧团中。
IDS_CLIENT_HELP_INC_000144	退出/解散临时剧团
IDS_CLIENT_HELP_INC_000145	选择剧团介面里的『Leave』键，即可退出临时剧团。若剩余的团员不超过2人时，剧团将会自动解散。
IDS_CLIENT_HELP_INC_000146	逐出临时剧团的团员
IDS_CLIENT_HELP_INC_000147	临时剧团的团长可在剧团介面上，选择剧团的团员之后，按『Leave』键，该团员即被逐出。
IDS_CLIENT_HELP_INC_000148	变更临时剧团的团长
IDS_CLIENT_HELP_INC_000149	临时剧团的团长在选择团员后，按下Transfer钮，就能够让该成员接任团长职位。要是剧团团长直接退出剧团时，在剧团界面上团长下方的成员会接任团长职位。
IDS_CLIENT_HELP_INC_000150	转换成巡回剧团
IDS_CLIENT_HELP_INC_000151	剧团等级10级之后，会进化为巡回剧团。所以只要临时剧团到了10级以后，就能够使用『change』键让剧团进化。进化为巡回剧团时，会出现要输入巡回剧团的名称的视窗。
IDS_CLIENT_HELP_INC_000152	巡回剧团
IDS_CLIENT_HELP_INC_000153	以下是巡回剧团的说明
IDS_CLIENT_HELP_INC_000154	成立巡回剧团
IDS_CLIENT_HELP_INC_000155	巡回剧团是临时剧团等级10级时，团长可将临时剧团转换成巡回剧团。转换时，可依巡回剧团团长的选择替巡回剧团取个名称。而巡回剧团最多可有8位成员。
IDS_CLIENT_HELP_INC_000156	招募巡回剧团团员
IDS_CLIENT_HELP_INC_000157	巡回剧团若要加入新成员，必须使用巡回剧团的技能。使用时，先选定对方后『alt+滑鼠左键』，使用该技能即可。
IDS_CLIENT_HELP_INC_000158	加入巡回剧团
IDS_CLIENT_HELP_INC_000159	若要加入巡回剧团，必须等到该剧团有了『挖角』技能之后，才能申请加入
IDS_CLIENT_HELP_INC_000160	巡回剧团的成长
IDS_CLIENT_HELP_INC_000161	巡回剧团会依剧团获得的经验值成长。剧团点数会在成长时获得。使用剧团技能时，点数会被消耗掉。巡回剧团的技能和点数会随著剧团等级的提升而增加。
IDS_CLIENT_HELP_INC_000162	退出巡回剧团
IDS_CLIENT_HELP_INC_000163	按剧团介面里的『Leave』键，即可退出巡回剧团。但是退出前必须要先考虑清楚，因为巡回剧团无法自由的招募或加入成员。
IDS_CLIENT_HELP_INC_000164	逐出巡回剧团团员
IDS_CLIENT_HELP_INC_000165	团长在巡回剧团的介面上选择团员后，按『Leave』键，该团员就会被逐出。
IDS_CLIENT_HELP_INC_000166	变更巡回剧团团长
IDS_CLIENT_HELP_INC_000167	巡回剧团的团长在选择团员后，按下Transfer钮，就能够让该成员接任团长职位。要是剧团团长直接退出剧团时，在剧团界面上团长下方的成员会接任团长职位。
IDS_CLIENT_HELP_INC_000168	解散巡回剧团
IDS_CLIENT_HELP_INC_000169	巡回剧团的团员剩下不到2人时，巡回剧团会自动解散。
IDS_CLIENT_HELP_INC_000170	巡回剧团的技能
IDS_CLIENT_HELP_INC_000171	巡回剧团的技能只有团长可以使用。巡回剧团的技能会在达到必要等级时，自动出现。使用技能时，某些技能会消耗巡回剧团的点数。
IDS_CLIENT_HELP_INC_000172	集合
IDS_CLIENT_HELP_INC_000173	成立巡回剧团后，可以马上使用的技能。如果需要让团员集合到团长面前，可以使用此技能。使用时不会消耗巡回剧团点数。
IDS_CLIENT_HELP_INC_000174	集中攻击
IDS_CLIENT_HELP_INC_000175	成立巡回剧团后，可以马上使用的技能。团长可以指定某个攻击对象后，使用此技能来请团员集中攻击所指定的对象。使用时不会消耗巡回剧团点数。
IDS_CLIENT_HELP_INC_000176	撤退
IDS_CLIENT_HELP_INC_000177	成立巡回剧团后，可以马上使用的技能。碰到危机时，团长可使用此技能来通知团员撤退。使用时不会消耗巡回剧团点数。
IDS_CLIENT_HELP_INC_000178	
IDS_CLIENT_HELP_INC_000179	
IDS_CLIENT_HELP_INC_000180	狂暴团长
IDS_CLIENT_HELP_INC_000181	巡回剧团17级时，就能够使用。团长攻击目标时，会依照团员的人数增加爆击的机率。使用时会消耗1点巡回剧团点数。
IDS_CLIENT_HELP_INC_000182	声援团长
IDS_CLIENT_HELP_INC_000183	巡回剧团20级时，就能够使用。团长攻击目标时，会依照团员的人数增加攻击力。使用时会消耗1点巡回剧团点数。
IDS_CLIENT_HELP_INC_000184	幸运降临
IDS_CLIENT_HELP_INC_000185	巡回剧团25级时，就能够使用。使用技能的有效时间内，可增加怪物掉落特殊物品的机率变成2倍。使用时会消耗巡5点回剧团点数。
IDS_CLIENT_HELP_INC_000186	寂静的祝福
IDS_CLIENT_HELP_INC_000187	巡回剧团30级时，就能够使用。此技能可以让没有在进行战斗中的团员坐下休息，这时的生命力恢复速度是1.5倍，若团长的职业是神职者，恢复速度是2倍。使用时会消耗2点巡回剧团点数。
IDS_CLIENT_HELP_INC_000188	爱的礼物
IDS_CLIENT_HELP_INC_000189	巡回剧团40级时，就能够使用。使用技能的有效时间内，会让怪物掉落两次物品。使用时会消耗8点巡回剧团点数。
IDS_CLIENT_HELP_INC_000190	各职业技能说明
IDS_CLIENT_HELP_INC_000191	接下来为您解说各职业的特征与技能
IDS_CLIENT_HELP_INC_000192	技能成长
IDS_CLIENT_HELP_INC_000193	技能可吸收PXP(技能经验值)来上升等级，请参考PXP的说明。
IDS_CLIENT_HELP_INC_000194	见习生
IDS_CLIENT_HELP_INC_000195	见习生是刚开始游戏时的基本职业。此职业会使用剑类的武器进行短距离攻击。
IDS_CLIENT_HELP_INC_000196	重击
IDS_CLIENT_HELP_INC_000197	见习生等级3级时，可使用的前段技能。将力量集中后，瞬间爆发出威力的单手武器技能。
IDS_CLIENT_HELP_INC_000198	连击
IDS_CLIENT_HELP_INC_000199	见习生等级5级时，可使用的中段技能。快速连续突刺敌人的单手武器技能。
IDS_CLIENT_HELP_INC_000200	爆击
IDS_CLIENT_HELP_INC_000201	见习生等级10级时，可使用的后段技能。使用聚集的力量将敌人击飞，能让敌人受到强大伤害。
IDS_CLIENT_HELP_INC_000202	勇者
IDS_CLIENT_HELP_INC_000203	勇者是擅长近战的职业，主要特色是拥有强大的力量。此职业主要使用剑、斧类的武器来进行攻击或使用技能。
IDS_CLIENT_HELP_INC_000204	
IDS_CLIENT_HELP_INC_000205	月牙斩
IDS_CLIENT_HELP_INC_000206	勇者前段技能，将身体弯曲集气，以反弹力挥出二连击的单手剑与斧头技能。
IDS_CLIENT_HELP_INC_000207	旋风斩
IDS_CLIENT_HELP_INC_000208	勇者中段技能，急速旋转身体并在空中施展回旋斩来攻击目标的单手剑技能。
IDS_CLIENT_HELP_INC_000209	爆炎剑气
IDS_CLIENT_HELP_INC_000210	勇者后段技能，集中攻击敌人的弱点并将他击击飞的单手剑技能。
IDS_CLIENT_HELP_INC_000211	冲刺
IDS_CLIENT_HELP_INC_000212	集气后，快速往前冲刺敌人。
IDS_CLIENT_HELP_INC_000213	血之赞颂
IDS_CLIENT_HELP_INC_000214	吸收对方的HP来维持自己生命的技能。
IDS_CLIENT_HELP_INC_000215	反击
IDS_CLIENT_HELP_INC_000216	将怪物给予的伤害还击回去，使敌人受到更大的伤害。
IDS_CLIENT_HELP_INC_000217	灵剑气
IDS_CLIENT_HELP_INC_000218	集气后，发射剑气。
IDS_CLIENT_HELP_INC_000219	防御术
IDS_CLIENT_HELP_INC_000220	使用盾来提升自己的防御力。
IDS_CLIENT_HELP_INC_000221	霸体
IDS_CLIENT_HELP_INC_000222	使用盾来提高对远距离攻击的回避率。
IDS_CLIENT_HELP_INC_000223	勇者之网
IDS_CLIENT_HELP_INC_000224	集勇者之气化为一坚固的网子，并用网子套住敌人，使敌人的动作变慢
IDS_CLIENT_HELP_INC_000225	属性之光
IDS_CLIENT_HELP_INC_000226	"用勇者的辅助技能, 让武器原本拥有的属性攻击力增加，但武器本身必须已经有属性才有效。"
IDS_CLIENT_HELP_INC_000227	狂战斧
IDS_CLIENT_HELP_INC_000228	加重斧头伤害值，并提高防御力。
IDS_CLIENT_HELP_INC_000229	斧之研习
IDS_CLIENT_HELP_INC_000230	提升斧头的熟练度，可让斧头发动的攻击力增加的被动技能。
IDS_CLIENT_HELP_INC_000231	狂暴刃
IDS_CLIENT_HELP_INC_000232	让剑瞬间变的非常锐利(但武器磨损度跟会跟随上升)。
IDS_CLIENT_HELP_INC_000233	剑之研习
IDS_CLIENT_HELP_INC_000234	提升剑的熟练度，可让剑发动的攻击力增加的被动技能。
IDS_CLIENT_HELP_INC_000235	杂技师
IDS_CLIENT_HELP_INC_000236	使用中距离武器溜刃与远距离武器弓箭，并且进行快速攻击的职业。
IDS_CLIENT_HELP_INC_000237	
IDS_CLIENT_HELP_INC_000238	溜刃研习
IDS_CLIENT_HELP_INC_000239	增加溜刃的攻击力。
IDS_CLIENT_HELP_INC_000240	弓箭研习
IDS_CLIENT_HELP_INC_000241	增加弓箭的攻击力。
IDS_CLIENT_HELP_INC_000242	幻影术
IDS_CLIENT_HELP_INC_000243	施展出幻影，并隐身黑暗处。
IDS_CLIENT_HELP_INC_000244	乱箭射杀
IDS_CLIENT_HELP_INC_000245	没有指定的目标，随意发射箭。
IDS_CLIENT_HELP_INC_000246	加速术
IDS_CLIENT_HELP_INC_000247	增加移动速度。
IDS_CLIENT_HELP_INC_000248	狙击
IDS_CLIENT_HELP_INC_000249	机率性的发射出两倍攻击力。
IDS_CLIENT_HELP_INC_000250	缓速术
IDS_CLIENT_HELP_INC_000251	使对方的移动速度与攻击速度变低。
IDS_CLIENT_HELP_INC_000252	沉默射击
IDS_CLIENT_HELP_INC_000253	必须在幻影术的状态下施展，施展后幻影术的状态会被解除。
IDS_CLIENT_HELP_INC_000254	绝对防御
IDS_CLIENT_HELP_INC_000255	隔挡率上升。
IDS_CLIENT_HELP_INC_000256	箭雨
IDS_CLIENT_HELP_INC_000257	向天空发射箭矢，使箭矢像雨般降落在敌人的头上。
IDS_CLIENT_HELP_INC_000258	十字爆气
IDS_CLIENT_HELP_INC_000259	集中溜刃的气，发射强大的爆击。
IDS_CLIENT_HELP_INC_000260	自动射击
IDS_CLIENT_HELP_INC_000261	定点连续发射箭矢，有一定的机率可使敌人中暗黑属性伤害。
IDS_CLIENT_HELP_INC_000262	强夺
IDS_CLIENT_HELP_INC_000263	需搭配幻影术并於敌人后方施展，有一定的机率偷窃金币及给予致命伤害。
IDS_CLIENT_HELP_INC_000264	逆袭
IDS_CLIENT_HELP_INC_000265	回避一次的攻击，并强力的反击对方。
IDS_CLIENT_HELP_INC_000266	致命之舞
IDS_CLIENT_HELP_INC_000267	可让敌人受到致命的攻击，并持续的出血。
IDS_CLIENT_HELP_INC_000268	零距离
IDS_CLIENT_HELP_INC_000269	利用溜刃把对方拉到自己角色面前。
IDS_CLIENT_HELP_INC_000270	神职者
IDS_CLIENT_HELP_INC_000271	拥有保护其他角色能力的职业。神职者可细分为加持系与攻击系。加持系也就是辅助型，主要使用的武器是法棒。而攻击系的神职者必须使用拳套来进行近身攻击。
IDS_CLIENT_HELP_INC_000272	
IDS_CLIENT_HELP_INC_000273	治愈术
IDS_CLIENT_HELP_INC_000274	立即恢复HP。
IDS_CLIENT_HELP_INC_000275	生命的祝福
IDS_CLIENT_HELP_INC_000276	在技能的有效时限内提高对方的HP上限。
IDS_CLIENT_HELP_INC_000277	复活术
IDS_CLIENT_HELP_INC_000278	将死亡的对象复活。
IDS_CLIENT_HELP_INC_000279	集体治愈术
IDS_CLIENT_HELP_INC_000280	恢复施展者四周限定范围内的团员HP。
