IDS_CLIENT_FAQ_INC_000000	要如何复活？
IDS_CLIENT_FAQ_INC_000023	旧版本：按住滑鼠滚轮后移动滑鼠。新版本：按住滑鼠右键后移动滑鼠。视角的放大缩小可使用滑鼠滚轮，视角的旋转可利用键盘的方向键操作。
IDS_CLIENT_FAQ_INC_000024	把视角归回预设角度。
IDS_CLIENT_FAQ_INC_000025	画面的视角异常，并想要转换成原本预设的视角时… 新版本：滑鼠右键双击。旧版本：双击滑鼠滚轮按键。
IDS_CLIENT_FAQ_INC_000026	飞行时视角的移动真不方便。
IDS_CLIENT_FAQ_INC_000027	飞行时双击滑鼠的右键，就可以不用一直点击滑鼠，也能转换方向
IDS_CLIENT_FAQ_INC_000028	如何休息？
IDS_CLIENT_FAQ_INC_000029	休息的热键被指定为『F9』键，按下后就会 "坐下休息"。万一不小心将热键消去时，只要按下热键『O』，在动作栏里寻找，重新登入热键即可。若要站起来可再使用此键或直接攻击怪物，或是在任何地方双击滑鼠左键即可。
IDS_CLIENT_FAQ_INC_000030	角色之间要如何交易？
IDS_CLIENT_FAQ_INC_000031	请靠近要进行交易的角色，并按住键盘上的『ALT』键，然后使用滑鼠选定角色。此时会出现一列选项，选择『交易』的选项即可进行交易。正在进行交易时，将无法使用物品、NPC交易与丢弃物品。
IDS_CLIENT_FAQ_INC_000032	任务要去哪里接？
IDS_CLIENT_FAQ_INC_000033	想要接任务，必须先到达适合的等级或职业，之后再去找NPC对话，即可接一些任务。喜欢玩任务吗？那就要常常与NPC对话喔。
IDS_CLIENT_FAQ_INC_000034	什么是对战？
IDS_CLIENT_FAQ_INC_000035	对战就是指玩家与玩家之间的对决。意思就是说双方必须达成协议之后，进行PvP(Player VS Player)。与PK不同之处在於PVP不会受到惩罚。
IDS_CLIENT_FAQ_INC_000036	如何提升名誉值？
IDS_CLIENT_FAQ_INC_000037	在对战时获得很多胜利时，名誉自然就会上升。随著名誉的上升，可以获得各种称号。
IDS_CLIENT_FAQ_INC_000038	什么是白目指数？
IDS_CLIENT_FAQ_INC_000039	如果持续进行PK，PK及PK趋向数值会上升，与一般的红人角色概念相同。该数值上升后，对游戏的进行会非常的不利。PK角色的角色名称会以红色标示。PK数值能够透过忏悔任务减少，PK趋向数值在打倒怪物或角色死亡后，都能够下降。
IDS_CLIENT_FAQ_INC_000040	发现BUG要怎么做？
IDS_CLIENT_FAQ_INC_000041	发现BUG时，请直接透过官方网站『http://www.flyff.com.tw/』通报。
IDS_CLIENT_FAQ_INC_000042	何谓公会?
IDS_CLIENT_FAQ_INC_000043	公会比剧团的规模更大，是由许多人所组成的组织。随著公会的成长，能够使用公会仓库、公会披风、公会大战、1：1公会大战等的功能。
IDS_CLIENT_FAQ_INC_000044	公会要在哪里创呢?
IDS_CLIENT_FAQ_INC_000045	想创立公会就要去圣因特市区的[城镇服务处] 找NPC海莲娜说话。创公会时，角色的等级必需要40级以上，等级到了40级之后，透过任务就能够创立公会。
IDS_CLIENT_FAQ_INC_000046	要如何转换成巡回剧团？
IDS_CLIENT_FAQ_INC_000047	剧团等级升到10级之后，按下剧团视窗里面的『Change』按钮即可转换成巡回剧团。
IDS_CLIENT_FAQ_INC_000048	变成巡回剧团后，要如何新增成员？
IDS_CLIENT_FAQ_INC_000049	转换成巡回剧团后，若要再邀请其他人加入剧团，就必须要让巡回剧团的等级到达12级之后，学会『挖角』技能，才可以邀请其他人加入剧团。
